"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Labridae","Bodianus","frenchii",389.13012,67.5,382.5,450,"too big",6.63011999999998,86.47336
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Labridae","Coris","auricularis",418.80427,60,340,400,"too big",78.80427,104.7010675
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pempherididae","Pempheris","klunzingeri",179.7015,27,153,180,"too big",26.7015,99.8341666666667
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Labridae","Austrolabrus","maculatus",130.8236,18.825,106.675,125.5,"too big",24.1486,104.241912350598
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Labridae","Austrolabrus","maculatus",117.15681,18.825,106.675,125.5,"too big",10.48181,93.3520398406374
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Labridae","Pseudolabrus","biserialis",152.78145,25.8,146.2,172,"too big",6.58145000000002,88.8264244186047
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Parma","victoriae",205.76019,30,170,200,"too big",35.76019,102.880095
"2014-12_Geographe.Bay_stereoBRUVs","199","Labridae","Austrolabrus","maculatus",116.90646,18.825,106.675,125.5,"too big",10.23146,93.1525577689243
"2014-12_Geographe.Bay_stereoBRUVs","199","Labridae","Coris","auricularis",363.36279,60,340,400,"too big",23.36279,90.8406975
"2014-12_Geographe.Bay_stereoBRUVs","199","Labridae","Coris","auricularis",344.43234,60,340,400,"too big",4.43234000000001,86.108085
"2014-12_Geographe.Bay_stereoBRUVs","199","Labridae","Pseudolabrus","biserialis",196.2275,25.8,146.2,172,"too big",50.0275,114.085755813953
"2014-12_Geographe.Bay_stereoBRUVs","199","Pomacentridae","Chromis","klunzingeri",78.00118,9.75,55.25,65,"too big",22.75118,120.001815384615
"2014-12_Geographe.Bay_stereoBRUVs","199","Labridae","Coris","auricularis",44.59562,60,340,400,"too small",15.40438,11.148905
"2014-12_Geographe.Bay_stereoBRUVs","199","Labridae","Coris","auricularis",51.28547,60,340,400,"too small",8.71453,12.8213675
"2014-12_Geographe.Bay_stereoBRUVs","RC3","Labridae","Pseudolabrus","biserialis",205.24873,25.8,146.2,172,"too big",59.04873,119.330656976744
"2014-12_Geographe.Bay_stereoBRUVs","RC3","Labridae","Pseudolabrus","biserialis",196.93787,25.8,146.2,172,"too big",50.73787,114.498761627907
"2014-12_Geographe.Bay_stereoBRUVs","RC3","Labridae","Coris","auricularis",341.70976,60,340,400,"too big",1.70976000000002,85.42744
"2014-12_Geographe.Bay_stereoBRUVs","RC3","Labridae","Coris","auricularis",383.6453,60,340,400,"too big",43.6453,95.911325
