CampaignID	Sample	Latitude	Longitude	Date	Time	Location	Status	Site	Depth	Observer	Successful
2014-12_Geographe.Bay_stereoBRUVs	215	-33.6065667	115.2241167	2014-12-15	10:45:00	Geographe Bay	Fished		14.1	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	218	-33.5954833	115.3030667	2014-12-17	09:46:00	Geographe Bay	Fished		14.7	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	224	-33.4189	115.5035833	2014-12-16	06:59:00	Geographe Bay	Fished		16.5	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	234	-33.6031667	115.3602167	2014-12-17	10:03:00	Geographe Bay	Fished		9.3	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	236	-33.4949167	115.4766833	2014-12-16	10:45:00	Geographe Bay	Fished		13.1	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	240	-33.4387833	115.4684667	2014-12-16	08:56:00	Geographe Bay	Fished		18.9	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	247	-33.5561	115.1345167	2014-12-15	06:30:00	Geographe Bay	Fished		26.4	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	250	-33.5628167	115.4223667	2014-12-16	15:17:00	Geographe Bay	Fished		10	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	256	-33.4083167	115.4774833	2014-12-14	13:12:00	Geographe Bay	Fished		11.1	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	267	-33.5707	115.1362	2014-12-15	06:22:00	Geographe Bay	Fished		23.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	270	-33.52045	115.4206	2014-12-13	06:00:00	Geographe Bay	Fished		13.7	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	271	-33.5937	115.2133167	2014-12-12	06:06:00	Geographe Bay	Fished		27.3	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	272	-33.3815	115.4879333	2014-12-14	08:37:00	Geographe Bay	Fished		11.7	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	279	-33.5011833	115.4379167	2014-12-16	11:32:00	Geographe Bay	Fished		14.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	282	-33.5571833	115.3322333	2014-12-17	08:02:00	Geographe Bay	Fished		18.2	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	287	-33.5940333	115.2189	2014-12-15	10:50:00	Geographe Bay	Fished		16.4	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	288	-33.4709833	115.4775833	2014-12-16	09:29:00	Geographe Bay	Fished		14.3	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	295	-33.5555333	115.46605	2014-12-16	15:50:00	Geographe Bay	Fished		2.5	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	298	-33.5825167	115.1301333	2014-12-15	06:56:00	Geographe Bay	Fished		18.1	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	304	-33.5958333	115.1453667	2014-12-15	10:17:00	Geographe Bay	Fished		13.7	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	314	-33.5869	115.1628333	2014-12-15	09:03:00	Geographe Bay	Fished		20	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	316	-33.3839667	115.5281667	2014-12-14	10:49:00	Geographe Bay	Fished		9.3	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	320	-33.4417833	115.49575	2014-12-16	08:49:00	Geographe Bay	Fished		15.1	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	327	-33.4892333	115.3942	2014-12-14	14:10:00	Geographe Bay	Fished		11.8	Damon	Yes
2014-12_Geographe.Bay_stereoBRUVs	330	-33.5691167	115.104	2014-12-15	06:44:00	Geographe Bay	Fished		17.7	Damon	Yes
2014-12_Geographe.Bay_stereoBRUVs	331	-33.6030833	115.2530333	2014-12-15	13:46:00	Geographe Bay	Fished		14.3	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	335	-33.5771167	115.2266667	2014-12-12	08:09:00	Geographe Bay	Fished		21.6	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	346	-33.6092	115.2392833	2014-12-15	13:08:00	Geographe Bay	Fished		14	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	352	-33.4517667	115.4879833	2014-12-16	08:45:00	Geographe Bay	Fished		15.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	362	-33.627	115.2948	2014-12-17	10:23:00	Geographe Bay	Fished		9.4	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	368	-33.5725167	115.45125	2014-12-16	15:59:00	Geographe Bay	Fished		3.7	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	375	-33.5902167	115.2205667	2014-12-12	06:14:00	Geographe Bay	Fished		26.9	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	378	-33.5555833	115.3912	2014-12-12	13:08:00	Geographe Bay	Fished		13.3	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	384	-33.4274667	115.51415	2014-12-16	06:54:00	Geographe Bay	Fished		13.5	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	391	-33.50165	115.4101333	2014-12-13	08:23:00	Geographe Bay	Fished		17	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	394	-33.5181	115.3820167	2014-12-16	13:18:00	Geographe Bay	Fished		19	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	395	-33.6072833	115.3444333	2014-12-17	10:08:00	Geographe Bay	Fished		9.2	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	399	-33.6143333	115.31295	2014-12-17	10:17:00	Geographe Bay	Fished		10.8	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	400	-33.3575833	115.5516833	2014-12-14	08:58:00	Geographe Bay	Fished		9.8	Damon	Yes
2014-12_Geographe.Bay_stereoBRUVs	407	-33.4881667	115.4274667	2014-12-13	08:13:00	Geographe Bay	Fished		16.2	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	416	-33.6147833	115.2806167	2014-12-17	10:34:00	Geographe Bay	Fished		12.3	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	428	-33.45045	115.5572167	2014-12-16	06:31:00	Geographe Bay	Fished		7.6	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	432	-33.4270333	115.4686	2014-12-14	13:19:00	Geographe Bay	Fished		10.7	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	439	-33.6309333	115.2730667	2014-12-17	10:29:00	Geographe Bay	Fished		8.4	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	442	-33.5066	115.41935	2014-12-12	13:28:00	Geographe Bay	Fished		14.3	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	443	-33.5698	115.2024833	2014-12-12	06:34:00	Geographe Bay	Fished		27	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	448	-33.3965	115.4930667	2014-12-14	13:05:00	Geographe Bay	Fished		10.6	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	451	-33.41975	115.5529	2014-12-14	11:32:00	Geographe Bay	Fished		7.8	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	455	-33.5671333	115.1820333	2014-12-15	08:42:00	Geographe Bay	Fished		24.9	Lizzy	Yes
