"","X","Sample","UWA.con.number","Time.x","Site.x","Location.x","Status.x","Depth.x","Maxn.analyst","Maxn.complete.yyyymmdd","Maxn.checker","Curtin.Observer","Curtin.length.analyst","Observer.x","Successful.count.x","Successful.length.x","Left.cam","Right.cam","Video.notes","Con.hdd.number","Raw.hdd.number","Habitat.image.saved","Vis.in.metres","Habitat.classification","Length.analyst","Length.complete.date.yyyymmdd","Notes","Latitude","Longitude","Date","Time.y","Location.y","Status.y","Site.y","Depth.y","Observer.y","Successful.count.y","Successful.length.y","Comment"
"46","2014-12_Geographe.Bay_stereoBRUVs","45","1","13:28:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","41.1","Hayley","17.07.20","","Lauren","Laura","Hayley","","",5,6,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4445667,115.13165,20141209,"13:28:00","Geographe.Bay","Fished",NA,41.1,"Lauren","Yes","Yes",NA
"47","2014-12_Geographe.Bay_stereoBRUVs","46","","06:35:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","18",""," ","","Lauren","Laura","","","",19,20,"","BH",NA,NA,NA,NA,NA,NA,"",-33.4028,115.3493,20141214,"06:35:00","Geographe.Bay","Fished",NA,18,"Lauren","Yes","Yes",NA
"48","2014-12_Geographe.Bay_stereoBRUVs","47","1","10:29:00",NA,"Geographe Bay","Multiple Use Zone","24.3","Hayley ","17.07.20","","Lauren","Laura","Hayley ","","",15,16,"","3",NA,NA,NA,NA,NA,NA,"",-33.5485,115.2877667,20141212,"10:29:00","Geographe.Bay","Fished",NA,24.3,"Lauren","Yes","Yes",NA
"49","2014-12_Geographe.Bay_stereoBRUVs","48","1","12:31:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","17.2","Hayley","17.07.20","","Lizzy","Lauren","Hayley","","",23,24,"Y","2",NA,NA,NA,NA,NA,NA,"Rear fail",-33.40275,115.5133833,20141211,"12:31:00","Geographe.Bay","Fished",NA,17.2,"Lizzy","Yes","Yes",NA
"50","2014-12_Geographe.Bay_stereoBRUVs","49","1","13:51:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","37.7","Hayley","17.07.20","","Laura","Lizzy","Hayley","","",9,10,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3809167,115.2720667,20141210,"13:51:00","Geographe.Bay","Fished",NA,37.7,"Laura","Yes","Yes",NA
"51","2014-12_Geographe.Bay_stereoBRUVs","50","","10:29:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","40.5","","","","Lizzy","N/A","","","No",17,18,"R=FAIL WHEN HIT SEABED","2L",NA,NA,NA,NA,NA,NA,"",-33.4108,115.1742333,20141210,"10:29:00","Geographe.Bay","Fished",NA,40.5,"Lizzy","Yes","Yes",NA
"52","2014-12_Geographe.Bay_stereoBRUVs","51","1","10:52:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","25.4","","","","Damon","N/A","","","No",17,18,"R=FAIL","",NA,NA,NA,NA,NA,NA,"Snapper come in late",-33.4315667,115.41365,20141213,"10:52:00","Geographe.Bay","Fished",NA,25.4,"Damon","Yes","Yes",NA
"53","2014-12_Geographe.Bay_stereoBRUVs","52","","06:14:00",NA,"Geographe Bay","Multiple Use Zone","29.7","","","","Lizzy","N/A","","","No",19,20,"L YES R FAIL","1 Left only",NA,NA,NA,NA,NA,NA,"",-33.49265,115.2982,20141209,"06:14:00","Geographe.Bay","Fished",NA,29.7,"Lizzy","Yes","Yes",NA
"54","2014-12_Geographe.Bay_stereoBRUVs","53","1","09:04:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","31.4","Hayley","19.07.20","","Lizzy","Ronen","Hayley","","",21,22,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3582167,115.3565167,20141211,"09:04:00","Geographe.Bay","Fished",NA,31.4,"Lizzy","Yes","Yes",NA
"55","2014-12_Geographe.Bay_stereoBRUVs","54","1","10:47:00",NA,"Geographe Bay","Multiple Use Zone","33.1","Hayley ","19.07.20","","Lizzy","Laura","Hayley ","","",25,26,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.51305,115.1532,20141209,"10:47:00","Geographe.Bay","Fished",NA,33.1,"Lizzy","Yes","Yes",NA
"56","2014-12_Geographe.Bay_stereoBRUVs","55","1","09:05:00",NA,"Geographe Bay","Multiple Use Zone","22.2","Hayley","19.07.20","","Lizzy","Ronen","Hayley","","",15,16,"","2",NA,NA,NA,NA,NA,NA,"REAR FAIL",-33.5708667,115.2801167,20141212,"09:05:00","Geographe.Bay","Fished",NA,22.2,"Lizzy","Yes","Yes",NA
"57","2014-12_Geographe.Bay_stereoBRUVs","56","","09:49:00",NA,"Geographe Bay","Multiple Use Zone","32","","","","Lizzy","N/A","","","No",5,6,"Right = Fail","1 Left only",NA,NA,NA,NA,NA,NA,"",-33.4953,115.2224167,20141209,"09:49:00","Geographe.Bay","Fished",NA,32,"Lizzy","Yes","Yes",NA
"58","2014-12_Geographe.Bay_stereoBRUVs","58","1","13:02:00",NA,"Geographe Bay","National Park Zone","13.5","Hayley","19.07.20","","Lauren","Laura","Hayley","","",25,26,"","3",NA,NA,NA,NA,NA,NA,"",-33.56965,115.3795833,20141212,"13:02:00","Geographe.Bay","Fished",NA,13.5,"Lauren","Yes","Yes",NA
"59","2014-12_Geographe.Bay_stereoBRUVs","60","1","09:55:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","21.5","Hayley ","20.07.20","","Lizzy","Laura","Hayley ","","",11,12,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3626167,115.5049333,20141211,"09:55:00","Geographe.Bay","Fished",NA,21.5,"Lizzy","Yes","Yes",NA
"60","2014-12_Geographe.Bay_stereoBRUVs","61","1","12:50:00",NA,"Geographe Bay","Multiple Use Zone","34.8","Hayley","20.07.20","","Lauren","Ronen","Hayley","","",23,24,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4992833,115.1345167,20141209,"12:50:00","Geographe.Bay","Fished",NA,34.8,"Lauren","Yes","Yes",NA
