 ,Sample,UWA.con.number,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Curtin.Observer,Curtin.length.analyst,Observer,Successful.count,Successful.length,Left.cam,Right.cam,Video.notes,Con.hdd.number,Raw.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes
2014-12_Geographe.Bay_stereoBRUVs,97,1,,,2014-12-11,08:43:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),35.6,Hayley ,2.8.20,,Lizzy,Ronen,Hayley ,,,15,16,Y,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,98,,,,2014-12-10,10:56:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),38,,,,Lizzy,N/A,,,No,19,20,L=FAIL R=YES,2,,,,,,,Leftcam failed ~10s
2014-12_Geographe.Bay_stereoBRUVs,101,,,,2014-12-14,06:47:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),16.7,,,,Lizzy,Damo,,,,17,18,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,100,1,,,2014-12-10,11:14:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),36.7,,,,Lauren,N/A,,,No,21,22,Y,2,,,,,,,Cals bad
2014-12_Geographe.Bay_stereoBRUVs,102,1,,,2014-12-09,12:39:00,,Geographe Bay,Multiple Use Zone,34.4,Hayley,3.8.20,,Lizzy,Laura,Hayley,,,25,26,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,103,1,,,2014-12-11,13:12:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),18.4,Hayley,3.8.20,,Lauren,Laura,Hayley,,,13,14,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,104,1,,,2014-12-09,10:04:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),33.3,Hayley,4.8.20 - Finishes at 20 mins,,Lauren,Lizzy,Hayley,,,9,10,Y,1,,,,,,,"Leftcam cuts out after ~ 20 mins, rightcam analysed instead"
2014-12_Geographe.Bay_stereoBRUVs,106,2,,,2014-12-12,11:27:00,,Geographe Bay,Multiple Use Zone,13.5,Logan,14.07.20,Brooke,laura,Lauren,Logan,,,25,26,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,105,,,,2014-12-10,07:25:00,,Geographe Bay,,41.7,,,,,N/A,,N,N,9,10,Y,,,,,,,,Files not on RAW (lost cards?)
2014-12_Geographe.Bay_stereoBRUVs,107,2,,,2014-12-15,08:56:00,,Geographe Bay,Multiple Use Zone,20.9,Logan,15.07.20,Brooke,Lizzy,Laura,Logan,,,15,16,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,107,,,,2014-12-09,09:25:00,,Geographe Bay,Multiple Use Zone,29.3,,,,Lauren,N/A,,,No,15,16,L=FAIL R=YES,1,,,,,,,Rightcam analysed
2014-12_Geographe.Bay_stereoBRUVs,108,2,,,2014-12-11,06:47:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),34,Logan,14.07.20,Brooke - check with todd,laura,Lauren,Logan,,,5,6,Y,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,111,1,,,2014-12-12,10:55:00,,Geographe Bay,Multiple Use Zone,21.9,Logan ,15.07.20,,Laura,Damo,Logan ,,,19,20,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,110,,,,2014-12-14,06:37:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),17,,,,Lauren,N/A,,,No,9,10,,BH,,,,,,,R FAIL ON ENTRY TO HOUSING
