"","x","sample","uwa.con.number","date","time","site","location","status","depth","maxn.analyst","maxn.complete.yyyymmdd","maxn.checker","curtin.observer","curtin.length.analyst","observer","successful.count","successful.length","left.cam","right.cam","video.notes","con.hdd.number","raw.hdd.number","habitat.image.saved","vis.in.metres","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes","latitude","longitude"
"182","2014-12_Geographe.Bay_stereoBRUVs","480","2 - only left","2014-12-14","09:06:00",NA,"Geographe Bay","","7.4","","","","Laura","N/A","","","",9,10,"","3L",NA,NA,NA,NA,NA,NA,"",-33.3475833,115.5777
"183","2014-12_Geographe.Bay_stereoBRUVs","503","3","2014-12-17","07:48:00",NA,"Geographe Bay","Multiple Use Zone","16.3","","","","Lizzy","Damo","","","",5,6,"","5",NA,NA,NA,NA,NA,NA,"",-33.5845333,115.3097667
"184","2014-12_Geographe.Bay_stereoBRUVs","492","3","2014-12-16","08:40:00",NA,"Geographe Bay","","14.7","","","","Laura","Damo","","","",11,12,"","5",NA,NA,NA,NA,NA,NA,"UPSIDE DOWN, GOOD",-33.4637833,115.4974833
"185","2014-12_Geographe.Bay_stereoBRUVs","496","","2014-12-16","10:42:00",NA,"Geographe Bay","","15.3","","","","Lauren","Lizzy","","","",5,6,"","BH",NA,NA,NA,NA,NA,NA,"",-33.4851167,115.4752333
"186","2014-12_Geographe.Bay_stereoBRUVs","499","1","2014-12-16","06:36:00",NA,"Geographe Bay","","9.9","","","","Lauren","Tamy","","","",19,20,"","2",NA,NA,NA,NA,NA,NA,"",-33.45165,115.5441167
"187","2014-12_Geographe.Bay_stereoBRUVs","506","2","2014-12-16","11:23:00",NA,"Geographe Bay","Multiple Use Zone","14.1","Logan ","10.8.20","Brooke Gibbons","Lizzy","Lauren","Logan ","Yes","",23,24,"","4",NA,NA,NA,NA,NA,NA,"",-33.5173833,115.4165
"188","2014-12_Geographe.Bay_stereoBRUVs","523","2","2014-12-15","08:35:00",NA,"Geographe Bay","Multiple Use Zone","26","Logan","29.07.20","Brooke Gibbons","Laura","Lauren","Logan","Yes","",17,18,"","4",NA,NA,NA,NA,NA,NA,"",-33.5634333,115.1589167
"189","2014-12_Geographe.Bay_stereoBRUVs","512","2","2014-12-16","11:03:00",NA,"Geographe Bay","","10.6","","","","Lizzy","Laura","","","",9,10,"","3R 4L",NA,NA,NA,NA,NA,NA,"",-33.5094,115.4873333
"190","2014-12_Geographe.Bay_stereoBRUVs","527","2","2014-12-12","06:16:00",NA,"Geographe Bay","Habitat Protection Zone","26.8","Logan","6.8.20","Brooke Gibbons","laura","Lauren","Logan","Yes","",9,10,"","4",NA,NA,NA,NA,NA,NA,"",-33.5894167,115.2078167
"191","2014-12_Geographe.Bay_stereoBRUVs","543","???????","2014-12-15","13:13:00",NA,"Geographe Bay","Multiple Use Zone","16.7","","","","Lauren","Laura","","","",23,24,"","BH",NA,NA,NA,NA,NA,NA,"",-33.5950333,115.2434
"192","2014-12_Geographe.Bay_stereoBRUVs","528","2","2014-12-16","08:34:00",NA,"Geographe Bay","","14","","","","Lauren","Lauren","","","",25,26,"","",NA,NA,NA,NA,NA,NA,"",-33.48105,115.4971
"193","2014-12_Geographe.Bay_stereoBRUVs","538","2","2014-12-17","05:53:00",NA,"Geographe Bay","","11.6","","","","Laura","Lauren","","","",17,18,"","4",NA,NA,NA,NA,NA,NA,"",-33.5839167,115.3846667
