OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
GBR1-3	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR1-3.EMObs
99	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	99.EMObs
538	1.07	2017 05 10 15:14:20	E:\EM Done\	538.EMObs
53	1.07	2017 05 10 15:14:20	E:\EM Done\	53.EMObs
30	1.07	2017 05 10 15:14:20	X:\EM Done\	30.EMObs
18	1.07	2017 05 10 15:14:20	E:\EM Done\	18.EMObs
111	1.07	2017 05 10 15:14:20	\\C-fish-006\e\EM Done\	111.EMObs
330	1.07	2017 05 10 15:14:20	\\C-fish-005\E\	330.EMObs
196	1.07	2017 05 10 15:14:20	\\c-fish-006\E\EM Done\	196.EMObs
512	1.07	2017 05 10 15:14:20	E:\EM Done\	512.EMObs
684	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	684.EMObs
100	1.07	2017 05 10 15:14:20	F:\EM Done\Lengths Done\	100.EMObs
95	1.07	2017 05 10 15:14:20	E:\EM Done\	95.EMObs
89	1.07	2017 05 10 15:14:20	H:\EM Done\	89.EMObs
572	1.07	2017 05 10 15:14:20	G:\Everything Else\GB CONVERT\EM Done\Lengths Done\	572.EMObs
38	1.07	2017 05 10 15:14:20	E:\EM Done\	38.EMObs
635	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	635.EMObs
10002	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	10002.EMObs
608	1.07	2017 05 10 15:14:20	G:\EM DONE\	608.EMObs
52	1.07	2017 05 10 15:14:20	G:\EM Done\	52.EMObs
13RC5	1.07	2017 05 10 15:14:20	G:\EM DONE\	13RC5.EMObs
96	1.07	2017 05 10 15:14:20	E:\EM Done\	96.EMObs
5	1.07	2017 05 10 15:14:20	E:\EM Done\	5.EMObs
719	1.07	2017 05 10 15:14:20	E:\EM Done\	719.EMObs
523	1.07	2017 05 10 15:14:20	E:\EM Done\	523.EMObs
800	1.07	2017 05 10 15:14:20	G:\EM DONE\	800.EMObs
29	1.07	2017 05 10 15:14:20	H:\EM Done\	29.EMObs
394	1.07	2017 05 10 15:14:20	E:\EM Done\	394.EMObs
112	1.07	2017 05 10 15:14:20	E:\EM Done\	112.EMObs
31	1.07	2017 05 10 15:14:20	E:\EM Done\	31.EMObs
879	1.07	2017 05 10 15:14:20	G:\EM DONE\	879.EMObs
335	1.07	2017 05 10 15:14:20	H:\EM Done\	335.EMObs
139	1.07	2017 05 10 15:14:20	G:\EM DONE\	139.EMObs
107	1.07	2017 05 10 15:14:20	E:\EM Done\	107.EMObs
13RC7	1.07	2017 05 10 15:14:20	G:\EM DONE\	13RC7.EMObs
13RC6	1.07	2017 05 10 15:14:20	E:\EM Done\	13RC6.EMObs
624	1.07	2017 05 10 15:14:20	E:\EM Done\	624.EMObs
64	1.07	2017 05 10 15:14:20	E:\EM Done\	64.EMObs
93	1.07	2017 05 10 15:14:20	G:\	93.EMObs
12RC1	1.07	2017 05 10 15:14:20	E:\EM Done\	12RC1.EMObs
160	1.07	2017 05 10 15:14:20	\\c-fish-006\E\EM Done\	160.EMObs
62	1.07	2017 05 10 15:14:20	H:\EM Done\	62.EMObs
794	1.07	2017 05 10 15:14:20	G:\EM DONE\	794.EMObs
98	1.07	2017 05 10 15:14:20	F:\	98.EMObs
10000	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	10000.EMObs
320	1.07	2017 05 10 15:14:20	G:\EM DONE\	320.EMObs
77	1.07	2017 05 10 15:14:20	E:\EM Done\	77.EMObs
270	1.07	2017 05 10 15:14:20	E:\EM Done\	270.EMObs
544	1.07	2017 05 10 15:14:20	G:\EM DONE\	544.EMObs
11R1	1.07	2017 05 10 15:14:20	Y:\EM Done\	11R1.EMObs
13RC8	1.07	2017 05 10 15:14:20	E:\EM Done\	13RC8.EMObs
