OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
295	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0031193065	-0.0152815885	4.1623303315	0.0036082525	0.0002437102	0.0000000000	0.0005444299	-0.0000564227	0.0000000000	0.0006609799	-337.8643326643	0.0000000000	0.0000000000	0.3283585325	-8.7020160306	-1.4866916230	mm
295	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	-0.0051982179	-0.0526607607	4.1667820885	0.0035807063	0.0001157940	0.0000000000	-0.0005586000	-0.0009895181	0.0000000000	0.0007972506	337.8643326643	0.0000000000	0.0000000000	-0.3283585325	7.6549476424	-2.4701772149	mm
RC3	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0893547330	-0.0027520339	4.1582930171	0.0046204837	-0.0000369723	0.0000000000	0.0012058602	-0.0003192551	0.0000000000	0.0006231113	-342.7914277029	0.0000000000	0.0000000000	-0.0437946236	-7.9658126635	-0.2810225469	mm
RC3	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1541434194	-0.0695546571	4.1582594376	0.0045707362	0.0001394396	0.0000000000	0.0017514503	-0.0012899620	0.0000000000	0.0002505973	342.7914277029	0.0000000000	0.0000000000	0.0437946236	4.9310673178	-0.9393970389	mm
176	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0031193065	-0.0152815885	4.1623303315	0.0036082525	0.0002437102	0.0000000000	0.0005444299	-0.0000564227	0.0000000000	0.0006609799	-337.8643326643	0.0000000000	0.0000000000	0.3283585325	-8.7020160306	-1.4866916230	mm
176	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	-0.0051982179	-0.0526607607	4.1667820885	0.0035807063	0.0001157940	0.0000000000	-0.0005586000	-0.0009895181	0.0000000000	0.0007972506	337.8643326643	0.0000000000	0.0000000000	-0.3283585325	7.6549476424	-2.4701772149	mm
12RC9	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0454835232	-0.0473735018	4.1540725793	0.0044897548	-0.0000007233	0.0000000000	0.0012554088	-0.0001258013	0.0000000000	0.0000566595	-337.9556584580	0.0000000000	0.0000000000	1.2804373054	-9.6628680249	-0.6544227016	mm
12RC9	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0586467656	-0.0951257382	4.1595971590	0.0032906463	0.0002065893	0.0000000000	0.0003158549	-0.0022691005	0.0000000000	-0.0002374270	337.9556584580	0.0000000000	0.0000000000	-1.2804373054	4.8528215847	-1.5191209309	mm
215	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
215	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
13RC12	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1337533957	-0.0181679751	4.1858402611	0.0047700683	-0.0001473723	0.0000000000	0.0022136668	-0.0002891325	0.0000000000	0.0002791325	-336.7991447802	0.0000000000	0.0000000000	-0.2595525364	-5.9122954007	-0.7556115117	mm
13RC12	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1176640853	-0.0405538965	4.1937457609	0.0021897198	0.0011123405	0.0000000000	0.0019567156	-0.0003480972	0.0000000000	-0.0003828261	336.7991447802	0.0000000000	0.0000000000	0.2595525364	6.3682318503	-1.3175232424	mm
