Sample,Status,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker
782,Multiple Use Zone,Logan,28.07.20,Brooke Gibbons - check scomber with todd
783,Habitat Protection Zone,Hayley,8.8.20,Logan Penman
791,Multiple Use Zone,Logan,11.08.20,Brooke Gibbons
800,Multiple Use Zone,Logan,26.08.20,Brooke Gibbons
810,National Park Zone,Logan,29.07.20 - Finishes at 55 minutes,Brooke Gibbons - check scomber with todd
826,National Park Zone,Logan,7.8.20,Brooke Gibbons
848,Special Purpose Zone (Mining Exclusion),Logan,29.07.20,Brooke Gibbons
855,Multiple Use Zone,Logan,4.08.20,Brooke Gibbons
858,Multiple Use Zone,Logan,26.08.20,Brooke Gibbons
10001,Special Purpose Zone (Mining Exclusion),Logan,8.8.20,Brooke Gibbons
11R2,Special Purpose Zone (Mining Exclusion),Brooke,20200827,Logan Penman
11R3,Special Purpose Zone (Mining Exclusion),Brooke,20200827,Logan Penman
11R4,Special Purpose Zone (Mining Exclusion),Brooke,20200828,Logan Penman
12RC1,Habitat Protection Zone,Logan,8.8.20,Brooke Gibbons - check Pandus
12RC6,Multiple Use Zone,Logan,18.08.20,Brooke Gibbons
12RC7,Multiple Use Zone,Logan,19.08.20,Brooke Gibbons
12RC8,Multiple Use Zone,Logan,4.08.20,Brooke Gibbons - check valenciennesi
13RC1,Multiple Use Zone,Logan,17.08.20,Brooke Gibbons
13RC11,Special Purpose Zone (Mining Exclusion),Logan,16.07.20,Brooke Gibbons
13RC12,Special Purpose Zone (Mining Exclusion),Logan,17.08.20,Brooke Gibbons
13RC15,Special Purpose Zone (Mining Exclusion),Logan,17.08.20,Brooke Gibbons - check decapterus
13RC4,Multiple Use Zone,Logan,18.08.20,Brooke Gibbons
13RC6,Special Purpose Zone (Mining Exclusion),Logan,26.08.20,Brooke Gibbons
13RC8,Special Purpose Zone (Mining Exclusion),Logan,13.8.20,Brooke Gibbons
13RC9,Special Purpose Zone (Mining Exclusion),Logan,17.08.20,Brooke Gibbons
GBR1-2,Multiple Use Zone,Logan,11.8.20,Brooke Gibbons
GBR1-3,Habitat Protection Zone,Logan ,11.8.20,Brooke Gibbons
GBR1-4,Habitat Protection Zone,Logan,12.8.20,Brooke Gibbons
GBR4-1,Habitat Protection Zone,Logan,12.8.20,Brooke Gibbons
GBR4-2,Habitat Protection Zone,Hayley,8.8.20,Logan Penman
GBR5-1,Habitat Protection Zone,Hayley,11.8.20,Logan Penman
GBR5-2,Habitat Protection Zone,Hayley,8.8.20,Logan Penman
GBR5-3,Habitat Protection Zone,Logan ,13.8.20,Brooke Gibbons
RB1,Multiple Use Zone,Hayley ,11.8.20,Logan Penman
RB2,Multiple Use Zone,Hayley ,11.8.20,Logan Penman
RC1,Special Purpose Zone (Mining Exclusion),Hayley ,12.8.20,Logan Penman
RC2,Multiple Use Zone,Hayley ,12.8.20,Logan Penman
RC3,Special Purpose Zone (Mining Exclusion),Hayley ,12.8.20,Logan - check maculatus with brooke
